id,title,author,genre,age_group,availability,description,thumbnail_url
1,"1,2,3 Splosh",David Melling,Childrens>Picture Books;Childrens;Childrens>Storytime;Fiction;Animals;Number>Counting,0-2;2-4;4-10;10+,available,Will they be brave enough to dive into the paddling pool? Don't miss Colour with Splosh! - the second book in this popular series and a brilliant introduction to colours.,https://ik.imagekit.io/qdxmlqyzh/LOBH/images-1/1.jpg
2,100 Facts Ancient Greece,Fiona Macdonald,History;Nonfiction;Childrens;Reference,0-2;2-4;4-10;10+,available,"Discover everything you need to know about the history of this influential civilization, including how the Greeks lived and how their ideas have inspired modern sports, entertainment and politics. 100 facts, accompanied by photographs and ...",https://ik.imagekit.io/qdxmlqyzh/LOBH/images-1/2.jpg
3,1001 Things To Spot On The Farm,Gillian Doherty,Childrens>Picture Books;Childrens;Animals,0-2;2-4;4-10;10+,available,"Invites young readers to find various quantities of such things as farm animals and tools which are labeled in the illustrations of rural scenes, including a sheep farm, an orchard, a rice paddy, and bee hives.",https://ik.imagekit.io/qdxmlqyzh/LOBH/images-1/3.jpg
4,101 Bedtime Stories, ,,0-2;2-4;4-10;10+,available, ,
5,101 Dalmatians,,Classics;Childrens;Fiction;Animals;Fantasy;Adventure;Childrens>Middle Grade;Animals>Dogs;Young Adult;Audiobook,0-2;2-4;4-10;10+,available,classic tale adapted into a playful and stylish new picture book Dalmatians Pongo and Missis live in London with their beloved owners.,https://ik.imagekit.io/qdxmlqyzh/LOBH/images-1/5.jpg
6,A  Home Of Our Own,Meghaa Aggarwal,,0-2;2-4;4-10;10+,available,"Recommended by the UN Sustainable Development Reading Goals Book Club 2020 2019 Best of Indian Children's Writing Award Age range 6+ ""Let's play house-house!"" decide Sunehri and her friends.",https://ik.imagekit.io/qdxmlqyzh/LOBH/images-1/6.jpg
7,A B C, ,,0-2;2-4;4-10;10+,available, ,https://ik.imagekit.io/qdxmlqyzh/LOBH/images-1/7.jpg
8,A Bad Spell For The Worst Witch,Jill Murphy,Fantasy;Childrens;Fiction;Fantasy>Magic;Paranormal>Witches;Childrens>Middle Grade;School Stories>Boarding School;Classics;Humor;Adventure,0-2;2-4;4-10;10+,available,"A Bad Spell for the Worst Witch is the third of Jill Murphy's much-loved The Worst Witch series, starring the lovable but disaster-prone Mildred Hubble - possibly the worst witch ever to go to Miss Cackle's Academy for Witches .",https://ik.imagekit.io/qdxmlqyzh/LOBH/images-1/8.jpg
9,A Book For Puchku,Deepanjana Pal,Childrens>Picture Books,0-2;2-4;4-10;10+,available,,https://ik.imagekit.io/qdxmlqyzh/LOBH/images-1/9.jpg
10,A Child'S First Library Of Learning  Dinosaurs, ,Science;Animals;Childrens,0-2;2-4;4-10;10+,available, ,https://ik.imagekit.io/qdxmlqyzh/LOBH/images-1/10.jpg
