Title,Title2,Author,Description,Image URL,Genres
"1,2,3 Splosh","1,2,3 splosh",David Melling,Will they be brave enough to dive into the paddling pool? Don't miss Colour with Splosh! - the second book in this popular series and a brilliant introduction to colours.,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1480228667l/32941219._SX318_.jpg,Childrens>Picture Books;Childrens;Childrens>Storytime;Fiction;Animals;Number>Counting
100 Facts Ancient Greece,100 facts ancient greece,Fiona Macdonald,"Discover everything you need to know about the history of this influential civilization, including how the Greeks lived and how their ideas have inspired modern sports, entertainment and politics. 100 facts, accompanied by photographs and ...",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347507323l/7832000.jpg,History;Nonfiction;Childrens;Reference
1001 Things To Spot On The Farm,1001 things to spot on the farm,Gillian Doherty,"Invites young readers to find various quantities of such things as farm animals and tools which are labeled in the illustrations of rural scenes, including a sheep farm, an orchard, a rice paddy, and bee hives.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387730833l/1010760.jpg,Childrens>Picture Books;Childrens;Animals
101 Bedtime Stories,101 bedtime stories, , , ,
101 Dalmatians,101 dalmatians,,classic tale adapted into a playful and stylish new picture book Dalmatians Pongo and Missis live in London with their beloved owners.,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387310637l/511614.jpg,Classics;Childrens;Fiction;Animals;Fantasy;Adventure;Childrens>Middle Grade;Animals>Dogs;Young Adult;Audiobook
A  Home Of Our Own,a  home of our own,Meghaa Aggarwal,"Recommended by the UN Sustainable Development Reading Goals Book Club 2020 2019 Best of Indian Children's Writing Award Age range 6+ ""Let's play house-house!"" decide Sunehri and her friends.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1558712278l/46005256._SX318_.jpg,
A B C,a b c, , ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1543693593l/43071967._SX318_.jpg,
A Bad Spell For The Worst Witch,a bad spell for the worst witch,Jill Murphy,"A Bad Spell for the Worst Witch is the third of Jill Murphy's much-loved The Worst Witch series, starring the lovable but disaster-prone Mildred Hubble - possibly the worst witch ever to go to Miss Cackle's Academy for Witches .",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1360178672l/1042367.jpg,Fantasy;Childrens;Fiction;Fantasy>Magic;Paranormal>Witches;Childrens>Middle Grade;School Stories>Boarding School;Classics;Humor;Adventure
A Book For Puchku,a book for puchku,Deepanjana Pal,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1523886004l/39296695._SX318_.jpg,Childrens>Picture Books
A Child'S First Library Of Learning  Dinosaurs,a child's first library of learning  dinosaurs, , ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1561190899l/756279._SX318_.jpg,Science;Animals;Childrens
A Child'S First Library Of Learning  How Things Work,a child's first library of learning  how things work, , , ,
A Child'S First Library Of Learning  Insect World,a child's first library of learning  insect world, , ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1268698826l/794276.jpg,Nonfiction;Science;Childrens;Education;Childrens>Picture Books
A Child'S First Library Of Learning  Life In The Water,a child's first library of learning  life in the water, , ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1402063369l/22433587.jpg,
A Child'S First Library Of Learning Famous Places,a child's first library of learning famous places, , ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1402063369l/22433587.jpg,
A Child'S First Library Of Learning Science Starter,a child's first library of learning science starter, , ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1268719005l/4634342.jpg,Science;Nonfiction
A Child'S First Library Of Learning The World We Live In,a child's first library of learning the world we live in, , ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1402063369l/22433587.jpg,
A Child'S First Library Of Learning Wild Animals,a child's first library of learning wild animals, , ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1402063369l/22433587.jpg,
